Ürün ID,Stok Kodu,Barkod,Ürün Adı,Ana Kategori,Alt Kategori,Marka,Mikro Stok,Hepcazip Satış Fiyatı,Ofis26 Satış Fiyatı,Mevcut Alış Fiyatı,Mevcut Kar Marjı - Hepcazip,Mevcut Kar Marjı - Ofis26,Tedarikçi Güncel Alış Fiyatı,Güncel Kar Marjı - Hepcazip,Güncel Kar Marjı - Ofis26,Akakçe Fiyatı,Raf,Raf Adet,Kasa,Kasa Adet,Palet,Palet Adet
21527,VG-KB-LEO,8691230392430,VeGe Şeffaf Leopar Koli Bandı 48x100 cm,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21529,BR-231,8697405222315,Brons Suluboya Fırçası No: 0,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21530,1752,8691200017527,Brons Suluboya Fırçası No: 00 BR-230,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21531,1753,8691200017534,Brons Suluboya Fırçası No: 1,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21532,1754,8691200017541,Brons Suluboya Fırçası No: 10,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21533,1755,8691200017558,Brons Suluboya Fırçası No: 11,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21534,1757,8691200017572,Brons Suluboya Fırçası No: 2,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21535,1758,8691200017589,Brons Suluboya Fırçası No: 3,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21536,1759,8691200017596,Brons Suluboya Fırçası No: 4,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21537,11360,8691200113601,Brons Suluboya Fırçası No: 5,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21538,1761,8691200017619,Brons Suluboya Fırçası No: 6,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21539,1762,8691200017626,Brons Suluboya Fırçası No: 7,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21540,1763,8691200017633,Brons Suluboya Fırçası No: 8,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21541,1764,8691200017640,Brons Suluboya Fırçası No: 9,Okul Kırtasiye,Boya Fırçası,Brons,,,,,,,,,,,,,,,,
21543,MAS-71,8691239344505,Mas Çelik Cetvel 30 Cm Standart,Masaüstü Gereçler,Cetvel,Kraf,,,,,,,,,,,,,,,,
21544,MAS-73,8691235309725,Mas Çelik Cetvel 40 Cm Standart,Masaüstü Gereçler,Cetvel,Kraf,,,,,,,,,,,,,,,,
21545,MAS-74,8691233200913,Mas Çelik Cetvel 50 Cm Standart,Masaüstü Gereçler,Cetvel,Kraf,,,,,,,,,,,,,,,,
21546,MAS-72,8691231507419,Mas Çelik Cetvel 15 Cm Standart,Masaüstü Gereçler,Cetvel,Kraf,,,,,,,,,,,,,,,,
21547,5466,8691200054669,Kraf Çelik Cetvel 100 Cm,Masaüstü Gereçler,Cetvel,Kraf,,,,,,,,,,,,,,,,
21548,5469,6923698258574,Kraf Çelik Cetvel 50 Cm,Masaüstü Gereçler,Cetvel,Kraf,,,,,,,,,,,,,,,,
21549,CT20CM-HTS,8692556001451,Hatas Cetvel 20 cm,Masaüstü Gereçler,Cetvel,Hatas,,,,,,,,,,,,,,,,
21550,184945,8691237003541,KRAF CİLT KAPAĞI A4 160 MİC. 100 LÜ KIRMIZI 512G,Dosya ve Arşivleme,Cilt Kapağı,Kraf,,,,,,,,,,,,,,,,
21551,58203,8691200582032,Kraf Çıtçıtlı A4 Dosya Şeffaf 1209,Dosya ve Arşivleme,Çıtçıtlı Dosya,Kraf,,,,,,,,,,,,,,,,
21552,27967,8691200279673,Keskin Color Çıtçıtlı Dosya Plastik Frozen A4,Dosya ve Arşivleme,Çıtçıtlı Dosya,Keskin Color,,,,,,,,,,,,,,,,
